character,content,scene,sound,Cmt
P,P,X,X,"Diễn viên đẹp , kịch bản hay . Phim ý nghĩa : nói lên tiếng nói của cộng đồng LGBT , Tình yêu không bị giới hạn bởi tuổi tác , khoảng cách hay giới tính , tình yêu chỉ tồn tại khi hai trái tim cùng nhịp đập , hãy cứ yêu và hãy cứ sống vì bản thân mình hãy làm"
X,X,X,X,Đáng xem! Yên tâm.
X,X,X,X,hayy lắm nha. đáng xem tuyệt vời luôn xem đến đâu . hồi hộp đến đó
X,P,X,X,Một tác phẩm quá xuất xắc về đề tài phản chiến
P,P,P,X,"mình và bạn đi xem phim ngồi khóc quá trời cốt truyện hay lắm cảm động cực kì xen vào những cảnh chia tay Fu là những lúc hài hước của gia đình Fu, mẹ Ai, ba Le, 2 em RuiHui"
X,X,X,X,Phần 2 xuất xắc nhen mọi người
X,O,X,X,K hấp dẫn lắm. Coi cũng được chứ k bằng đẹp trai có gì sai và trúng số độc đắc.
O,O,X,X,Phần phim này chủ yếu nói về gia đình Gru còn các Minions rất hài hước nhưng hơi ít đất diễn. Phim nổi bật là tình cảm gia đình và tình cha con của Gru với cậu con trai nhỏ. Đáng xem nhé ạ.
X,X,X,X,Hài lắm nha mấy ní
P,X,X,X,"Để mà nói có đi lần 2 không thì Never. trong phim điểm sáng nhân vật cả về diễn xuất lẫn tính cách là Công sai Kiên, Mợ Hai, quan Đức Trọng, mợ cả. Điểm sáng ở đây không phải do là chính diện hay phản diện mà do cách diễn tạo nên khí chất nhân vật. Còn kịch"
X,X,O,X,Ko hẳn là hoàn hảo đâu nhưng mà lâu rồi mới đc coi chưởng hk như hồi xưa. Không khí cũng chân chất rất trung hoa. Chớ giờ phim châu á hiện đại quá coi chán:)) coi rạp màn hình lớn mới đã bối cảnh.
O,X,X,X,Diễn viên trong phim không quá đặc sắc nhưng vẫn đủ để giữ được mạch cảm xúc.
X,P,X,P,"Đúng như tên gọi, phim kết tinh tinh hoa âm nhạc địa cầu hơn 4.000 năm, xuyên suốt phim là âm thanh, giá điệu từ quen đến lạ, từ gần gũi đến hàn lâm. Dù bất kỳ thời gian, địa điểm hay giống loài nào cũng còn thể giao tiếp với nhau qua âm nhạc. Phù hợp cho các"
X,X,X,X,Khen chê đều có nên lúc đi xem phim cũng hơi rén. Nhưng hay mà mọi người =))
P,N,X,X,"cảm nhận cá nhân* Phim chưa có cao trào, các tình tiết bình thường, hài cũng chưa hài lắm(hạt nhài), bi cũng không bi, phim.4đ vì có chú Quyền Linh..."
X,X,X,X,mình cần pass lại một vé đôi 20h tối ngày 6/10 ạ🙏🏻🥹
P,P,P,P,"phim siêu siêu giải trí !!!! phim thực sự quăng hài rất là tốt, hiệu ứng phim đẹp lắm mn ơi, khs vẫn chê dc. nếu có chỗ nào cần chê thì chỉ chê 1 khúc đó là mình muốn panda đối đầu với con thằn lằn lâu hơn thôi, kiểu thấy hơi thiếu thiếu cái gì đó ở khúc đánh. Nhạc làm mình rất ấn tượng"
X,X,X,P,Lồng tiếng nghe rất ấn tượng
X,N,O,X,"điểm cộng là thông điệp hay, điểm trừ là đoạn cuối phim diễn ra hơi nhanh và không có cảnh quay và nét mặt của nhân vật, mà chỉ được miêu tả lại. Có lẽ là phim hơi dài rồi nên đoạn kết hơi nhanh, mà đoạn kết kiểu vầy cũng không quá tệ"
X,X,X,X,"hay lémmm , mình xem có 33k thoaiii , đáng đồng tiền bát gạo"
X,X,N,X,"Một số cảnh quay dài dòng, kéo dài không cần thiết, làm mạch phim bị chậm."
X,P,X,X,Phim hay. Theo mình cảm nhận thì còn cuốn hơn cả phần 1. Kịch bản có chút hài hước và bất ngờ cho người xem
P,O,O,X,"Rất đáng xem Minh xem và thấy là . Tuấn luôn nói yêu và đợi anh, nhưng thời gian chứng minh tình yêu đó có thể thay đổi . Nhưng vs Mai đã luôn ko dám yêu nhưng lại làm tất cả mọi thử kể cả việc chờ đợi 1 tyeu 1 đời, hi vọng 1 đời và ảo tưởng le lói sẽ đc chờ và được yêu … Nên đi xem nhé này mình cảm nhận riêng thoi"
X,X,X,X,"không xem là phí sự nghiệp đu bia đia lắm đó. đáng yêu, hài hước, cảm động, cực kì xuất sắc, đáng đi xem 10 lần"
O,N,X,X,Cốt truyện dễ đoán k có tí cảm động nào nam chính nhát quá k dám tỏ tình xong quay ra tiếc
X,N,P,X,"Nội dung phim có hài hước, những pha hành động khá hay nhưng tình tiết hơi đầu voi đuôi chuột khá là cục hứng Kết thì hơi chán ko đủ mood với một phim hành động"
X,X,X,X,Lần đầu tiên coi 1 bộ phim 30p là biết kết quả. Mà nó dàiiiiiiiiiii ngủ được hẳn 3 giấc. Đau hết cả lưng. Cố gắng lắm mới ngồi nổi 3 tiếng. Giờ viết đánh giá là phim đang còn chiếu chưa xong nữa 1 chữ thôi. CHÊ. Mất vui 20.10
O,X,X,O,"Lồng tiếng của diễn viên chính rõ ràng, nhưng không tạo được nhiều hứng thú."
N,X,X,X,"Vai phản diện diễn quá tệ, không tạo được ấn tượng."
X,X,X,X,"Phim không có gì để chê, quá tuyệt vời, mình xem xong mà lụy phim khủng khiếpppppp trời ơi, hay dã man íiiiii"
X,N,X,X,Phim phù hợp với khán giả thiếu nhi hoặc các bạn trẻ không đòi hỏi quá nhiều về nội dung. Bản thân đánh giá phần này ko hấp dẫn bằng các phần trước không quá kịch tính.
X,X,X,P,Nhạc hay phim đẹp. Đáng xem
O,X,X,X,"Diễn viên chính có phong thái phù hợp, nhưng không tạo được cảm giác mạnh mẽ."
X,O,X,X,"Xem phim mà bị cuốn theo mạch phim, rất chân thực"
P,P,P,X,"Phim siêu hay luôn, các diễn viên diễn ổn chắc vai. Hay nhất là các cảnh hành động nha xem là đã mắt 💯"
X,O,P,X,"Nội dung phim khá đơn giản và dễ đoán dù cũng có một số tình tiết bất ngờ. Kỹ xảo phim đẹp ghê, xem mãn nhãn, giải trí hiệu quả."
X,X,N,X,"Trang phục của các nhân vật không có điểm nhấn, nhưng không làm giảm chất lượng tổng thể của phim."
X,X,N,X,"Chuyển cảnh thiếu mượt mà, gây rối mắt."
X,N,P,X,"Đồ họa đẹp, nhưng nội dung hơi cũ và thiếu cao trào"
X,X,X,X,Giải trí
X,X,X,X,phim quá hay quá xuất sắc Maver ko bao h làm thất vọng 🥰🥰
N,N,P,X,"Điểm trừ lớn nhất là Hollow Earth chả có gì ngoài CGI ra thì dc miêu tả khá nhạt nhòa thiếu sức sống so vs Kong Skull Island hay King Kong 2005 , một số phân đoạn đánh nhau thì quá ngắn gây hụt hẫng , nội dung phim bình thường ko có gì đặc sắc ít gây cảm xúc hồi hộp hay tấu hài cũng quá ít . Điểm mạnh là phân cảnh đánh nhau cuối cùng , fan serie Kaiju sẽ thích xem. Âm thanh ok"
X,O,X,X,"Phim dựa theo vụ án có thật, và tựa sách cùng tên, bạn nào có tìm hiểu lịch sử về vụ án Osage thì coi sẽ hiểu phim về cái gì, cách làm phim khá giống vs Openheimer, diễn biến phim theo tâm lý nhân vật khá chi tiết, phim k phù hợp cho những bạn low-minded hoặc"
X,X,X,O,"Âm thanh không quá mạnh mẽ, giúp phim giữ được sự vừa phải."
X,X,X,P,"Hay nha trời, mỗi lần âm nhạc cất lên là tâm hồn toai rung động"
O,X,X,X,Diễn xuất của các nhân vật không quá đặc biệt nhưng vẫn làm hài lòng người xem.
X,P,X,X,Rất đáng xem Ý nghĩa nhân văn Mà còn hài hước Cười rớt nước mắt là có thật
P,N,X,X,"Phim làm chưa tới, kẻ phản diện ko có kết thúc hợp lí cho người xem; nhân vật hiền quá thành ra ngu, không đẩy mạnh được tình huống cao trào làm người xem ức chế khi coi nhưng sự tương tác của cô HV với chú QL thì oke cứu vớt lại cho phim tí, nhìn chung cũng được"
X,X,X,X,"nên đi xem nhé, aaaaaaaaaaaaaaaa sốc visual luôn"
N,P,O,P,"Phim cũng khá là hay không đến nỗi nào mà mình thấy nhiều người chê quá. Diễn viên đẹp, diễn xuất tốt, bối cảnh đẹp, nhạc phim cũng hay. Nói chung là mọi người nên tự trải nghiệm để cảm nhận rõ hơn về bộ phim, có điều tạo hình Bạch Lão nhìn không có đáng sợ,"
X,X,X,X,"Hay nhen, bộ hài lòng nhất trong những phim mình đã xem năm nay í. Ngồi cạnh các cô cũng chim ưng quá trời kk."
P,P,X,X,phim hay hài và diễn viên xuất sắc ❤️
X,X,X,X,Phim phù hợp với gia đình và các bé
X,O,O,X,"Phim dài 3h26p một bộ phim hàn lâm không dễ xem nhưng rất đáng xem đối với mình. Bộ phim thiên về mặt tối lịch sử lấy bối cảnh Hoa Kỳ vào những năm 1920,hàng loạt những thảm án không lời hồi đáp của bộ lạc Osage. Bộ phim đề cao câu chuyện về sự kiên cường của"
P,P,X,X,"Chưa bao giờ đánh giá 5 cho bất kỳ phim nào đã từng xem nhưng đây là phim đầu tiên nhé. Phim hành động đánh bên Hàn mà ở Việt nghe cái bốp, gay cấn có, cảm động có, hài hước có, zai đẹp cũng có luôn. "
X,X,O,O,"Phục trang và âm thanh của các nhân vật được làm khá tự nhiên, nhưng không tạo được điểm nhấn."
X,X,X,X,"Phim này đoạn đầu thấy kiểu cũng bình thường lắm nma đến đoạn gần cuối thì kiểu cảm xúc nó khó thể nào kiềm chế lại được luôn, đây là 1 bộ phim rất hay, đáng để xem"
X,X,X,O,"Âm thanh trong phim không có lỗi lớn, nhưng thiếu sự tinh tế."
X,X,X,P,Lồng tiếng hợp gu
X,N,X,X,Phim chuyển tiếp câu chuyện hơi xàm xíu mà đôi khi có tình tiêt hơi mắc cừ củng giải trí dc
X,X,X,P,"phim hay vãi không còn gì để diễn tả tuyệt vời đáng để xem đúng là phim hongkong, giọng quá hay"
X,X,X,N,"Âm thanh bị nhiễu, không đạt chuẩn chất lượng."
X,X,O,X,"Bối cảnh trong phim được dựng ổn, nhưng không tạo được cảm giác ấn tượng."
P,N,X,X,Mình là mọt phim Hàn nha nên có lẽ mình xem được phim đáng xem hơn như này rồi ý. Xin là xin đừng xem hoặc nếu có xem thì hãy đừng kì vọng gì cả. Điểm sáng là có con mèo trông đáng yêu với chị đóng cùng Dami xinh. Còn nội dung phim cá nhân mình thấy rất xà lơ.
P,P,X,P,"Mí dì nhất định phải đi xem nha, khóc thút thít. Mà rất là chữa lành, nhạc nền lên lần nào t khóc lần đó. Tới 2 nhân vật phụ RuiHui là cười xỉu, ủng hộ Fubao thiệt nhiều nha mí dì"
P,P,P,X,"Lâu lắm rồi mình mới xem một bộ phim mà mình đồng cảm với nhân vật đến như vậy. Mai không chỉ đơn thuần là một nhân vật được xây dựng bằng ngôn ngữ điện ảnh, mà còn là sự phản chiếu đến mức đáng kinh ngạc cuộc sống, mình cảm thấy Mai, Dương, mẹ Dương, Bình Minh là những nhân vật có thật, những tầng lớp lao động mà chúng ta có thể bắt gặp hàng ngày vậy, đôi khi còn phản ánh chính bản thân mình trong đó. Mình có cảm giác day dứt sau khi xem phim, có lẽ nó thực tế quá. Không phải hạnh phúc nào cũng dễ dàng đạt được, cuộc sống không phải là một màu hồng như trong truyện cổ tích, sẽ không có bà tiên nào đứng ra để giúp đỡ hoàng tử và lọ lem cả. Cuộc sống vốn luôn khắc nghiệt, ta phải chọn cách đối mặt với nó, hoặc là sẽ bị vùi dập. Mình cũng đã trải qua cảm xúc của Dương với Mai vậy, từ những buổi hẹn hò, động viên nhau lúc khó khăn, đến lúc cùng nhau đối mặt thử thách. Nhưng sau cùng, lời hứa có ý nghĩa bao nhiêu? Liệu nó có thể là đoạn kết cho mình không, 2 năm, 4 năm, 10 năm, không ai biết được. Không có một điều gì là chắc chắn cả, nhưng mình chắc chắn rằng những nhân vật trong phim, cũng như mình, đã có những ngày hạnh phúc nhất trong tình yêu, và mình thực sự trân trọng điều đó. Cảm ơn đoàn làm phim đã mang đến bộ phim thực sự có ý nghĩa như vậy! P/s: các góc quay, chuyển cảnh và cách kể chuyện bằng hình ảnh thật sự rất nghệ thuật nha"
X,P,X,X,"lâu lắm mới lại được xem phim rạp hay, cốt chuyện ý nghĩa dựa trên câu chuyện có thật."
O,X,X,X,"Diễn xuất ở mức ổn định, nhưng thiếu những khoảnh khắc bùng nổ."
X,X,X,X,Đây mới là phim đáng xem chứ ko phải cái phim xuyên tạc lịch sử tuyên truyền văn hóa độc hại như phim kia nhưng tiếc là đã bị chơi trò bẩn chèn ép hết suất chiếu
X,X,X,O,"Các bài hát xuất hiện trong phim phù hợp với từng cảnh, nhưng không quá nổi bật."
P,P,P,P,"Muốn xem lại tiếp. Nhạc phim cx hay nựa 🥹🥹 Thương nhất là ông Kang không đưa tiễn mẹ lần cuối đc. Ông Song cũng rất thương vì phải ở lại mà k đc đưa tiễn Fubao lần cuối. Có thể tùy người sẽ có những cái cũng bậc cảm xúc và came nghĩ khác về phim. Nma với mình , mình thấy rất hay và rất đáng để xem nha. 1000/10🫶🏼"
X,N,X,X,kết lãng xẹt xem mà ức chế lun á
X,X,P,X,Phim hay kĩ xảo thích mắt quá ok👍✨
O,O,X,X,"Đầu xem trailer nghĩ nó chỉ thổi 1 luồng khí gia đình chủ yếu xoay quanh về đứa cháu và ngoại thôi. Kh ngờ nó lại xoáy sâu vào tâm lý như v, trùng hợp thay hoàn cảnh của các nhân vật trong phim đều giống với hcanh của mình nhưng Ngoại mình vẫn khoẻ, chỉ cái là"
X,N,P,X,"Bộ phim được đầu tư về hình ảnh,trang phục rất chỉn chu. Tuy nhiên nội dung câu chuyện có những lúc kéo dài lê thê, chưa thật sự sâu lắng, gãy gọn. Nhưng vẫn ủng hộ phim Việt"
O,X,X,X,Diễn xuất của các nhân vật không quá đặc sắc nhưng vẫn đủ để giữ được sự hấp dẫn của câu chuyện.
X,X,X,X,Phần nào ra mình cũng trông chờ để xem.. phim quá hay xuất sắc..🤨🤨🤨mong sẽ sớm ra phần tiếp theo 😘😘😘😘
X,P,X,X,Phim nhẹ nhàng mà cảm động. Phù hợp với trẻ em
X,X,N,X,"Cảnh quay bị mất nét, trông rất khó chịu."
O,O,P,X,"Phim chậm rãi, phù hợp cho những bạn đã từng trải qua ít nhất 1 mối tình thì sẽ dễ thấu hiểu nội dung phim hơn. Phim khá nặng về kỹ thuật dàn dựng điện ảnh. Kết cấu phim vòng lặp và khoảng trống chơi vơi của hai nhân vật chính..."
P,X,P,X,"Mình đã đọc truyện rồi đi xem với tâm thế ko hi vọng gì nhiều vì nghĩ phim Việt thường sẽ ko truyền tải đc hết cảm xúc nhân vật. Thế nhưng xem xong mình thấy thực sự cảnh quay đẹp, diễn viên đóng tốt, thỉnh hoảng xen lẫn yếu tố gây cười và đặc biệt cho ta cảm"
X,N,X,X,"Đây là bộ phim mình khá kì vọng khi xem trailer vì nội dung cũng lạ, tuy nhiên cũng hơi hụt hẫng vì nó không như mong đợi. Mình có thấy nhiều review chê , dở không đáng tiền, tuy nhiên không đến mức kinh khủng như v 😂 Chỉ là phim đi hơi nhanh, làm chưa tới"
P,X,X,X,Mình yêu Doraemon nhiều lắm 🥺🥺 đi xem lần 2 mà vẫn khóc như mưa giống lần 1 😭😭😭 SẼ XEM LẠI LẦN 3 🥺🥺🌟🌟🌟
X,X,X,X,"Phim cảm động, 1 tiếng hơi ngắn, hay"
X,X,X,X,Thật sự ra khỏi rạp nhưng vẫn không kìm nổi nước mắt
O,X,X,X,"Dàn diễn viên chính và phụ phối hợp tốt, nhưng thiếu sự sáng tạo."
P,P,X,X,"Phim hay dữ lắm luôn, tình tiết tới diễn viên hay dữ lắm, là một người khán giả chân chính mong các bạn xem phim 1 cách công tâm chứ đừng vì lỗi lầm cá nhân của 1 ai mà đánh giá 1 phim thì hơi vô lý. 🫶🏻"
X,X,O,N,"Cảnh quay trong nhà rất gọn gàng nhưng tiếng vọng lại gây khó chịu, không tự nhiên."
X,N,X,X,kịch bản không khác gì mấy đứa thiểu năng đang đóng phim. xem rất ức chế
X,X,X,O,"Âm thanh của các cảnh đấu tranh nghe được, nhưng thiếu cảm giác căng thẳng."
N,N,N,N,"Vừa phí tiền vừa phí thời gian, chưa bao giờ cảm nhận phim tệ như thế này từ diễn xuất đến cách quay phim đến cả trang phục sao mà k thẩm nổi. Dở tệ 🙂 Âm thanh như đấm vào tai"
X,X,X,X,quá hay huhuhu
O,X,X,X,"Một số đoạn diễn xuất còn thiếu tự nhiên, nhưng không ảnh hưởng nhiều đến phim."
X,X,O,X,"Phục trang của nhân vật phụ ổn, nhưng không giúp họ trở nên nổi bật trong cảnh quay."
X,X,X,O,"Lồng tiếng của diễn viên chính rõ ràng, nhưng thiếu sự biểu cảm."
X,P,X,X,Đã Phần nào cũng hay và cốt truyện thay đổi mới mẻ riêng mình cảm thấy thấy rất phê
X,X,X,X,Hay nà nên xem nha mọi ng. 10* cho phim nhưng 1* cho rạp nha. Nghĩ sao tắt mây lạnh dị tr nóng gần chớttttt đi xem phim khuya mà đổ mồ hôi bực lun ó
X,X,O,X,"Bộ phim bao trọn toàn bộ những cung bậc cảm xúc, nhiều đoạn tôi khóc nấc lên vì nhớ bà ngoại tôi🥺"
N,O,X,N,"Phim sẽ 10₫ nếu đổi diễn viên đóng vai Sang đi. Thật sự mọi thứ đều ổn, diễn viên đóng vai Phong quá tuyệt chỉ trừ vai Sang, diễn không có hồn, giọng thì đơ đơ kiểu học thuộc thoại chứ không đặt mình vào vai diễn. Về cốt truyện thì ai xem TOLDN rồi sẽ dễ hiểu"
O,X,X,X,Huhu chú nhớn với embe cute lắm ạaa
X,X,X,N,Âm thanh trong phim quá ồn ào và làm mất đi sự tập trung.
X,X,X,N,"Lồng tiếng của các diễn viên không tự nhiên, gây cảm giác giả tạo."
X,O,X,X,"Phim k phải về siêu anh hùng, mô típ thiện thắng ác bình thường"
X,X,X,N,"Âm thanh của các phương tiện trong phim quá nhỏ, thiếu chân thực."
